Year,Sport,Event,Medal,Country
1972,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Bronze,USA
2012,Athletics,Athletics Men's Triple Jump,Gold,USA
2016,Athletics,Athletics Men's Triple Jump,Gold,USA
1952,Swimming,Swimming Men's 100 metres Backstroke,Bronze,USA
2000,Boxing,Boxing Men's Light-Middleweight,Bronze,USA
1984,Boxing,Boxing Men's Featherweight,Gold,USA
1924,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
1928,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
1932,Athletics,Athletics Men's 400 metres Hurdles,Bronze,USA
1972,Athletics,Athletics Men's 100 metres,Silver,USA
1932,Weightlifting,Weightlifting Men's Featherweight,Bronze,USA
1936,Weightlifting,Weightlifting Men's Featherweight,Gold,USA
1904,Wrestling,"Wrestling Men's Lightweight, Freestyle",Silver,USA
2000,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,USA
1912,Athletics,"Athletics Men's 10,000 metres",Silver,USA
1900,Athletics,Athletics Men's 60 metres,Silver,USA
1900,Athletics,Athletics Men's 100 metres,Silver,USA
1900,Athletics,Athletics Men's 200 metres,Gold,USA
1900,Athletics,Athletics Men's 200 metres Hurdles,Bronze,USA
1900,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
2012,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1960,Athletics,Athletics Men's High Jump,Bronze,USA
1964,Athletics,Athletics Men's High Jump,Silver,USA
2000,Swimming,"Swimming Men's 1,500 metres Freestyle",Bronze,USA
1992,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
2000,Swimming,Swimming Women's 100 metres Freestyle,Bronze,USA
1948,Athletics,Athletics Men's Shot Put,Gold,USA
1904,Archery,Archery Men's Double American Round,Bronze,USA
1904,Archery,Archery Men's Double York Round,Bronze,USA
1932,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,USA
1936,Equestrianism,"Equestrianism Men's Three-Day Event, Individual",Silver,USA
1912,Athletics,Athletics Men's Pentathlon,Gold,USA
1912,Athletics,Athletics Men's Decathlon,Gold,USA
2016,Shooting,"Shooting Women's Air Rifle, 10 metres",Gold,USA
1936,Athletics,Athletics Men's High Jump,Bronze,USA
1984,Boxing,Boxing Men's Heavyweight,Gold,USA
2012,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
1904,Rowing,Rowing Men's Single Sculls,Bronze,USA
1956,Diving,Diving Men's Platform,Silver,USA
1960,Diving,Diving Men's Springboard,Gold,USA
1960,Diving,Diving Men's Platform,Silver,USA
1932,Athletics,Athletics Men's 100 metres,Gold,USA
1932,Athletics,Athletics Men's 200 metres,Gold,USA
1948,Weightlifting,Weightlifting Men's Bantamweight,Bronze,USA
1948,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,USA
1968,Athletics,Athletics Men's Decathlon,Gold,USA
1924,Athletics,Athletics Men's Hammer Throw,Gold,USA
1992,Athletics,Athletics Women's 200 metres,Gold,USA
1996,Athletics,Athletics Women's 100 metres,Bronze,USA
2000,Swimming,Swimming Women's 50 metres Freestyle,Bronze,USA
2000,Swimming,Swimming Women's 100 metres Butterfly,Bronze,USA
2008,Swimming,Swimming Women's 50 metres Freestyle,Silver,USA
1956,Boxing,Boxing Men's Light-Middleweight,Silver,USA
1936,Athletics,Athletics Men's 110 metres Hurdles,Gold,USA
2000,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
2004,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
1924,Boxing,Boxing Men's Bantamweight,Silver,USA
1920,Shooting,Shooting Men's Trap,Silver,USA
1992,Sailing,Sailing Women's One Person Dinghy,Bronze,USA
2012,Athletics,Athletics Women's 400 metres,Bronze,USA
1960,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
1984,Athletics,Athletics Men's Pole Vault,Silver,USA
2008,Sailing,Sailing Women's One Person Dinghy,Gold,USA
2008,Shooting,"Shooting Men's Air Pistol, 10 metres",Bronze,USA
1984,Athletics,Athletics Women's 100 metres Hurdles,Bronze,USA
1932,Equestrianism,"Equestrianism Men's Dressage, Individual",Bronze,USA
1984,Cycling,"Cycling Women's Road Race, Individual",Silver,USA
1992,Cycling,"Cycling Women's Individual Pursuit, 3,000 metres",Bronze,USA
1896,Athletics,Athletics Men's Pole Vault,Silver,USA
1964,Athletics,Athletics Women's 100 metres,Gold,USA
1968,Athletics,Athletics Women's 100 metres,Gold,USA
1984,Cycling,Cycling Men's Sprint,Silver,USA
1972,Boxing,Boxing Men's Welterweight,Bronze,USA
1904,Athletics,Athletics Men's 800 metres,Silver,USA
1900,Sailing,Sailing Mixed 20+ Ton,Bronze,USA
1996,Swimming,Swimming Women's 50 metres Freestyle,Gold,USA
1996,Swimming,Swimming Women's 100 metres Butterfly,Gold,USA
1904,Boxing,Boxing Men's Lightweight,Silver,USA
1932,Athletics,Athletics Men's High Jump,Silver,USA
1904,Fencing,"Fencing Men's Foil, Individual",Silver,USA
1904,Fencing,"Fencing Men's Foil, Team",Gold,USA
1904,Fencing,"Fencing Men's epee, Individual",Bronze,USA
1904,Fencing,"Fencing Men's Sabre, Individual",Bronze,USA
1904,Fencing,"Fencing Men's Single Sticks, Individual",Gold,USA
1932,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,USA
1936,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
2008,Swimming,Swimming Men's 200 metres Freestyle,Bronze,USA
2012,Swimming,Swimming Men's 400 metres Freestyle,Bronze,USA
2012,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Gold,USA
2000,Swimming,Swimming Men's 400 metres Individual Medley,Silver,USA
2004,Swimming,Swimming Men's 400 metres Individual Medley,Silver,USA
1948,Swimming,Swimming Men's 200 metres Breaststroke,Gold,USA
1904,Athletics,"Athletics Men's 1,500 metres",Silver,USA
1992,Athletics,Athletics Women's 400 metres Hurdles,Bronze,USA
1968,Swimming,Swimming Women's 400 metres Individual Medley,Silver,USA
1972,Swimming,Swimming Women's 200 metres Individual Medley,Bronze,USA
1984,Gymnastics,Gymnastics Men's Individual All-Around,Silver,USA
1984,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,USA
1956,Weightlifting,Weightlifting Men's Bantamweight,Gold,USA
1960,Weightlifting,Weightlifting Men's Bantamweight,Gold,USA
2000,Boxing,Boxing Men's Bantamweight,Bronze,USA
1924,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,USA
1976,Swimming,Swimming Men's 100 metres Butterfly,Gold,USA
1904,Gymnastics,Gymnastics Men's Rings,Bronze,USA
1904,Gymnastics,Gymnastics Men's Rope Climbing,Bronze,USA
1904,Gymnastics,Gymnastics Men's Club Swinging,Silver,USA
1936,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,USA
2012,Swimming,Swimming Women's 100 metres Butterfly,Gold,USA
2016,Swimming,Swimming Women's 100 metres Butterfly,Bronze,USA
1932,Athletics,Athletics Women's 100 metres,Bronze,USA
1960,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
1960,Swimming,Swimming Women's 400 metres Freestyle,Gold,USA
1996,Swimming,Swimming Women's 400 metres Individual Medley,Silver,USA
1920,Diving,Diving Women's Springboard,Silver,USA
1924,Swimming,Swimming Women's 400 metres Freestyle,Silver,USA
1968,Swimming,Swimming Men's 100 metres Butterfly,Bronze,USA
1904,Athletics,Athletics Men's 400 metres,Silver,USA
1904,Athletics,Athletics Men's 400 metres Hurdles,Silver,USA
1968,Boxing,Boxing Men's Light-Welterweight,Bronze,USA
1968,Swimming,Swimming Men's 100 metres Freestyle,Silver,USA
2004,Boxing,Boxing Men's Light-Heavyweight,Gold,USA
2008,Fencing,"Fencing Women's Sabre, Individual",Bronze,USA
2004,Athletics,Athletics Men's 400 metres,Gold,USA
2008,Athletics,Athletics Men's 400 metres,Silver,USA
1904,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,USA
1968,Swimming,Swimming Women's 200 metres Backstroke,Gold,USA
1992,Athletics,Athletics Men's 400 metres,Gold,USA
1936,Diving,Diving Men's Springboard,Silver,USA
1936,Diving,Diving Men's Platform,Gold,USA
1984,Swimming,Swimming Women's 200 metres Freestyle,Gold,USA
1984,Wrestling,"Wrestling Men's Light-Flyweight, Freestyle",Gold,USA
1960,Diving,Diving Men's Platform,Gold,USA
1964,Diving,Diving Men's Platform,Gold,USA
1924,Swimming,Swimming Women's 100 metres Freestyle,Silver,USA
1964,Athletics,Athletics Men's Discus Throw,Bronze,USA
1976,Swimming,Swimming Women's 800 metres Freestyle,Bronze,USA
1924,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1924,Swimming,Swimming Men's 400 metres Freestyle,Gold,USA
1928,Swimming,Swimming Men's 100 metres Freestyle,Gold,USA
1920,Figure Skating,Figure Skating Women's Singles,Bronze,USA
2012,Athletics,Athletics Women's 100 metres Hurdles,Bronze,USA
1996,Boxing,Boxing Men's Middleweight,Bronze,USA
1972,Wrestling,"Wrestling Men's Welterweight, Freestyle",Gold,USA
1912,Athletics,Athletics Men's 110 metres Hurdles,Silver,USA
1984,Fencing,"Fencing Men's Sabre, Individual",Bronze,USA
1904,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Silver,USA
1988,Swimming,Swimming Men's 400 metres Individual Medley,Silver,USA
2008,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,USA
1984,Boxing,Boxing Men's Lightweight,Gold,USA
1924,Diving,Diving Men's Springboard,Gold,USA
1924,Diving,Diving Men's Platform,Gold,USA
1984,Swimming,Swimming Women's 200 metres Backstroke,Silver,USA
1956,Athletics,Athletics Women's Long Jump,Silver,USA
1948,Athletics,Athletics Men's 400 metres,Bronze,USA
1948,Athletics,Athletics Men's 800 metres,Gold,USA
1952,Athletics,Athletics Men's 800 metres,Gold,USA
1912,Athletics,Athletics Men's Shot Put,Bronze,USA
1900,Golf,Golf Women's Individual,Silver,USA
1968,Swimming,Swimming Women's 100 metres Breaststroke,Bronze,USA
1968,Swimming,Swimming Women's 200 metres Breaststroke,Gold,USA
1952,Athletics,Athletics Men's High Jump,Silver,USA
1964,Shooting,"Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",Gold,USA
1964,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Silver,USA
1972,Shooting,"Shooting Mixed Free Rifle, Three Positions, 300 metres",Gold,USA
1924,Tennis,Tennis Mixed Doubles,Gold,USA
1924,Tennis,Tennis Women's Doubles,Gold,USA
1972,Archery,Archery Women's Individual,Gold,USA
2008,Boxing,Boxing Men's Heavyweight,Bronze,USA
1904,Cycling,Cycling Men's 5 mile,Silver,USA
1904,Cycling,Cycling Men's 25 mile,Bronze,USA
1928,Athletics,Athletics Women's High Jump,Bronze,USA
2000,Swimming,Swimming Men's 200 metres Individual Medley,Bronze,USA
1904,Athletics,Athletics Men's Pole Vault,Bronze,USA
1976,Athletics,Athletics Men's Discus Throw,Gold,USA
1984,Athletics,Athletics Men's Discus Throw,Silver,USA
2000,Diving,Diving Women's Platform,Gold,USA
1964,Diving,Diving Women's Springboard,Bronze,USA
1936,Athletics,Athletics Men's 400 metres,Gold,USA
1972,Archery,Archery Men's Individual,Gold,USA
2004,Athletics,Athletics Women's 100 metres,Silver,USA
1972,Athletics,Athletics Men's Long Jump,Gold,USA
1976,Athletics,Athletics Men's Long Jump,Silver,USA
1904,Archery,Archery Men's Double American Round,Silver,USA
1904,Archery,Archery Men's Double York Round,Silver,USA
2000,Tennis,Tennis Women's Doubles,Gold,USA
2008,Tennis,Tennis Women's Doubles,Gold,USA
2012,Tennis,Tennis Women's Singles,Gold,USA
2012,Tennis,Tennis Women's Doubles,Gold,USA
2004,Triathlon,Triathlon Women's Olympic Distance,Bronze,USA
2000,Tennis,Tennis Women's Singles,Gold,USA
1988,Diving,Diving Women's Platform,Bronze,USA
2004,Athletics,Athletics Men's 200 metres,Silver,USA
2000,Boxing,Boxing Men's Light-Welterweight,Silver,USA
1924,Tennis,Tennis Women's Singles,Gold,USA
1984,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1976,Diving,Diving Women's Platform,Bronze,USA
1936,Boxing,Boxing Men's Bantamweight,Silver,USA
1904,Gymnastics,Gymnastics Men's Club Swinging,Bronze,USA
1960,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold,USA
1908,Shooting,"Shooting Men's Running Target, Double Shot",Gold,USA
1912,Art Competitions,Art Competitions Mixed Sculpturing,Gold,USA
1904,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,USA
1904,Weightlifting,Weightlifting Men's All-Around Dumbbell Contest,Silver,USA
1948,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Gold,USA
1952,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver,USA
1976,Athletics,Athletics Men's 800 metres,Bronze,USA
1932,Gymnastics,Gymnastics Men's Tumbling,Gold,USA
1920,Swimming,Swimming Women's 300 metres Freestyle,Silver,USA
1984,Swimming,Swimming Women's 200 metres Freestyle,Silver,USA
1920,Athletics,Athletics Men's 200 metres,Gold,USA
1936,Athletics,Athletics Men's 800 metres,Gold,USA
1968,Athletics,Athletics Men's Shot Put,Silver,USA
1972,Athletics,Athletics Men's Shot Put,Silver,USA
1972,Athletics,Athletics Men's 800 metres,Gold,USA
1904,Tennis,Tennis Men's Singles,Gold,USA
1920,Shooting,Shooting Men's Trap,Bronze,USA
1900,Polo,Polo Men's Polo,Bronze,USA
1968,Diving,Diving Men's Springboard,Gold,USA
1968,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Silver,USA
1972,Shooting,"Shooting Mixed Small-Bore Rifle, Three Positions, 50 metres",Gold,USA
2000,Archery,Archery Men's Individual,Silver,USA
1924,Swimming,Swimming Men's 100 metres Backstroke,Silver,USA
1928,Swimming,Swimming Men's 100 metres Backstroke,Bronze,USA
1984,Diving,Diving Women's Platform,Bronze,USA
1956,Swimming,Swimming Men's 200 metres Butterfly,Gold,USA
1904,Boxing,Boxing Men's Welterweight,Gold,USA
1952,Athletics,Athletics Men's Javelin Throw,Gold,USA
1968,Athletics,"Athletics Men's 3,000 metres Steeplechase",Bronze,USA
1992,Athletics,Athletics Men's 400 metres Hurdles,Gold,USA
1968,Athletics,Athletics Men's 50 kilometres Walk,Bronze,USA
1972,Athletics,Athletics Men's 50 kilometres Walk,Bronze,USA
1932,Art Competitions,"Art Competitions Mixed Sculpturing, Statues",Gold,USA
1968,Diving,Diving Men's Platform,Bronze,USA
2004,Fencing,"Fencing Women's Sabre, Individual",Gold,USA
2008,Fencing,"Fencing Women's Sabre, Individual",Gold,USA
1932,Athletics,Athletics Men's Hammer Throw,Bronze,USA
1948,Swimming,Swimming Women's 100 metres Backstroke,Silver,USA
1904,Wrestling,"Wrestling Men's Lightweight, Freestyle",Bronze,USA
2000,Boxing,Boxing Men's Light-Welterweight,Gold,Uzbekistan
2016,Boxing,Boxing Men's Bantamweight,Bronze,Uzbekistan
2012,Boxing,Boxing Men's Middleweight,Bronze,Uzbekistan
1996,Judo,Judo Men's Middleweight,Silver,Uzbekistan
2004,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Gold,Uzbekistan
2016,Boxing,Boxing Men's Light-Flyweight,Gold,Uzbekistan
2008,Gymnastics,Gymnastics Men's Parallel Bars,Bronze,Uzbekistan
2016,Boxing,Boxing Men's Light-Welterweight,Gold,Uzbekistan
2016,Boxing,Boxing Men's Welterweight,Silver,Uzbekistan
2016,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Bronze,Uzbekistan
2004,Wrestling,"Wrestling Men's Heavyweight, Freestyle",Silver,Uzbekistan
2004,Boxing,Boxing Men's Light-Heavyweight,Bronze,Uzbekistan
2008,Trampolining,Trampolining Women's Individual,Bronze,Uzbekistan
2016,Boxing,Boxing Men's Middleweight,Silver,Uzbekistan
2000,Boxing,Boxing Men's Light-Heavyweight,Bronze,Uzbekistan
2016,Wrestling,"Wrestling Men's Welterweight, Freestyle",Bronze,Uzbekistan
2016,Weightlifting,Weightlifting Men's Heavyweight,Gold,Uzbekistan
2000,Boxing,Boxing Men's Super-Heavyweight,Bronze,Uzbekistan
2008,Judo,Judo Men's Extra-Lightweight,Bronze,Uzbekistan
2012,Judo,Judo Men's Extra-Lightweight,Bronze,Uzbekistan
2016,Judo,Judo Men's Half-Lightweight,Bronze,Uzbekistan
2004,Boxing,Boxing Men's Bantamweight,Bronze,Uzbekistan
2008,Judo,Judo Men's Heavyweight,Silver,Uzbekistan
2016,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Bronze,Uzbekistan
2000,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver,Uzbekistan
2004,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
2008,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
2012,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold,Uzbekistan
2008,Wrestling,"Wrestling Men's Middleweight, Freestyle",Silver,Uzbekistan
2016,Boxing,Boxing Men's Heavyweight,Bronze,Uzbekistan
1996,Boxing,Boxing Men's Light-Middleweight,Bronze,Uzbekistan
2016,Judo,Judo Men's Extra-Lightweight,Bronze,Uzbekistan
2016,Boxing,Boxing Men's Flyweight,Gold,Uzbekistan
1984,Boxing,Boxing Men's Light-Flyweight,Bronze,Venezuela
2004,Taekwondo,Taekwondo Women's Heavyweight,Bronze,Venezuela
1984,Boxing,Boxing Men's Featherweight,Bronze,Venezuela
2008,Taekwondo,Taekwondo Women's Flyweight,Bronze,Venezuela
1952,Athletics,Athletics Men's Triple Jump,Bronze,Venezuela
2016,Boxing,Boxing Men's Flyweight,Bronze,Venezuela
1960,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Bronze,Venezuela
1976,Boxing,Boxing Men's Welterweight,Silver,Venezuela
2016,Cycling,Cycling Women's BMX,Bronze,Venezuela
2012,Fencing,"Fencing Men's epee, Individual",Gold,Venezuela
1980,Boxing,Boxing Men's Bantamweight,Silver,Venezuela
1968,Boxing,Boxing Men's Light-Flyweight,Gold,Venezuela
2016,Athletics,Athletics Women's Triple Jump,Silver,Venezuela
2004,Weightlifting,Weightlifting Men's Featherweight,Bronze,Venezuela
1984,Swimming,Swimming Men's 200 metres Butterfly,Bronze,Venezuela
2008,Weightlifting,Weightlifting Men's Bantamweight,Silver,Vietnam
2016,Shooting,"Shooting Men's Air Pistol, 10 metres",Gold,Vietnam
2016,Shooting,"Shooting Men's Free Pistol, 50 metres",Silver,Vietnam
2000,Taekwondo,Taekwondo Women's Featherweight,Silver,Vietnam
1960,Athletics,Athletics Men's 4 x 400 metres Relay,Bronze,Trinidad
1960,Athletics,Athletics Men's 800 metres,Bronze,Trinidad
1980,Handball,Handball Women's Handball,Silver,Serbia
1984,Handball,Handball Women's Handball,Gold,Serbia
1984,Water Polo,Water Polo Men's Water Polo,Gold,Serbia
1988,Water Polo,Water Polo Men's Water Polo,Gold,Serbia
1960,Football,Football Men's Football,Gold,Serbia
1956,Football,Football Men's Football,Silver,Serbia
1928,Gymnastics,Gymnastics Men's Team All-Around,Bronze,Serbia
1988,Basketball,Basketball Men's Basketball,Silver,Serbia
1988,Basketball,Basketball Women's Basketball,Silver,Serbia
1984,Handball,Handball Men's Handball,Gold,Serbia
1972,Handball,Handball Men's Handball,Gold,Serbia
1948,Football,Football Men's Football,Silver,Serbia
1952,Water Polo,Water Polo Men's Water Polo,Silver,Serbia
1984,Football,Football Men's Football,Bronze,Serbia
1988,Handball,Handball Men's Handball,Bronze,Serbia
1952,Football,Football Men's Football,Silver,Serbia
1980,Water Polo,Water Polo Men's Water Polo,Silver,Serbia
1980,Basketball,Basketball Women's Basketball,Bronze,Serbia
1968,Swimming,Swimming Women's 100 metres Breaststroke,Gold,Serbia
1968,Swimming,Swimming Women's 200 metres Breaststroke,Silver,Serbia
1952,Rowing,Rowing Men's Coxless Fours,Gold,Serbia
1964,Water Polo,Water Polo Men's Water Polo,Silver,Serbia
1968,Water Polo,Water Polo Men's Water Polo,Gold,Serbia
1980,Rowing,Rowing Men's Coxed Pairs,Bronze,Serbia
1964,Gymnastics,Gymnastics Men's Horizontal Bar,Bronze,Serbia
1964,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,Serbia
1968,Gymnastics,Gymnastics Men's Pommelled Horse,Gold,Serbia
1968,Basketball,Basketball Men's Basketball,Silver,Serbia
1956,Water Polo,Water Polo Men's Water Polo,Silver,Serbia
1972,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver,Serbia
1976,Basketball,Basketball Men's Basketball,Silver,Serbia
1980,Basketball,Basketball Men's Basketball,Gold,Serbia
1984,Basketball,Basketball Men's Basketball,Bronze,Serbia
1928,Gymnastics,Gymnastics Men's Horse Vault,Bronze,Serbia
1988,Table Tennis,Table Tennis Women's Doubles,Bronze,Serbia
1976,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver,Serbia
1948,Athletics,Athletics Men's Hammer Throw,Silver,Serbia
1968,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Silver,Serbia
1984,Canoeing,"Canoeing Men's Kayak Singles, 1,000 metres",Silver,Serbia
1984,Boxing,Boxing Men's Light-Heavyweight,Gold,Serbia
1980,Boxing,Boxing Men's Light-Heavyweight,Gold,Serbia
